Bedroom,Bathroom,Property Size,# of Floors,Total Units,Parking Lot,Property Age,Tenure Type Encoded,Property Type Encoded,Land Title Encoded,Transit Zone,Facility Count,Facility Tier,State_Kedah,State_Kelantan,State_Kuala Lumpur,State_Melaka,State_Negeri Sembilan,State_Other,State_Pahang,State_Penang,State_Perak,State_Putrajaya,State_Sabah,State_Sarawak,State_Selangor,State_Terengganu,price
3.0,2.0,776.0,18.0,462.0,1.0,12.0,0,0,2,1,6,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,178000.0
3.0,1.0,650.0,5.0,462.0,1.0,12.0,1,0,1,1,3,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,220000.0
3.0,2.0,850.0,20.0,1440.0,1.0,11.0,0,1,2,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,245000.0
3.0,2.0,932.0,9.0,462.0,1.0,12.0,1,1,2,1,8,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,300000.0
3.0,2.0,656.0,8.0,23.0,1.0,33.0,0,0,2,0,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,230000.0
4.0,2.0,1340.0,19.0,436.0,1.0,19.0,0,1,1,1,7,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,630000.0
3.0,2.0,688.0,20.0,462.0,1.0,12.0,0,3,1,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,150000.0
3.0,1.0,603.0,20.0,462.0,1.0,12.0,0,0,1,1,3,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,235000.0
3.0,2.0,1048.0,20.0,462.0,2.0,12.0,0,0,1,1,10,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,450000.0
3.0,2.0,800.0,29.0,462.0,1.0,18.0,1,0,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,345000.0
3.0,2.0,750.0,29.0,462.0,1.0,18.0,1,0,2,0,7,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,345000.0
3.0,2.0,650.0,20.0,462.0,1.0,12.0,0,0,2,0,14,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,276000.0
3.0,2.0,700.0,11.0,100.0,1.0,31.0,1,0,2,0,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,260000.0
3.0,2.0,970.0,14.0,528.0,1.0,29.0,0,0,2,0,6,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,300000.0
